brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,touchscreen,msoffice,price,rating,no_ratings,no_reviews
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7846200,3,0,0
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,False,8044200,4,9,0
ASUS,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,Casual,0,False,False,7378200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7918200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7846200,3,0,0
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7450200,4,56,7
DELL,Intel,Core i3,10,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7972200,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,Casual,1,False,False,8819820,3,0,0
DELL,Intel,Core i3,11,4,DDR4,256,1024,Windows,64-bit,0,ThinNlight,1,False,True,7198200,3,170,11
DELL,Intel,Core i3,10,8,DDR4,256,1024,Windows,64-bit,0,ThinNlight,0,False,False,8350200,2,95,5
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,64-bit,0,Casual,0,False,False,3418200,3,197,25
ASUS,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3238200,3,1180,148
HP,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,4764600,3,232,23
HP,Intel,Celeron Dual,10,4,DDR4,0,512,Windows,64-bit,0,Casual,0,False,False,5038200,3,596,65
Lenovo,Intel,Celeron Dual,10,4,DDR4,0,1024,Windows,32-bit,0,Casual,0,False,False,5399820,3,19,1
Lenovo,Intel,Celeron Dual,10,4,LPDDR4X,0,512,Windows,64-bit,0,Casual,0,False,False,4678200,3,84,16
Lenovo,Intel,Celeron Dual,10,4,LPDDR4,0,512,Windows,32-bit,0,Casual,0,False,False,3058200,3,414,54
